صفق	صَفْق,صَفَق-ِ,صَفَّق,صَفَق
رواتب	راتِب
رواء	رِواء,رُواء,رَواء
رهين	رَهِينَ,رَهِين
رهنه	رَهَن-َ,رَهْن
رهنت	رَهَن-َ
رهطك	رَهَط-َ,رَهْط
رهصة	NOTFOUND
رهبوت	رَهْبُوت
رهبانية	رَهْبانِيَّة
رهاني	رِهان
رهابينهم	NOTFOUND
رميناه	رَمَى-ِ
رميح	NOTFOUND
رميتني	رَمَى-ِ
رميتك	رَمَى-ِ,رَمْيَة,رَمِيَّة
رمقتموه	رَمَق,رَمَّق
رمضوا	NOTFOUND
رمضت	NOTFOUND
رمصا	رَمَص
رمددا	NOTFOUND
رمحك	رُمْح,رَمَح-َ
رمحعن	NOTFOUND
رماهم	رَمَى-ِ,رَمّ
رماده	رَماد
ركين	رَكِين
ركونها	رُكُون
ركوتك	رَكْوَة
ركضات	NOTFOUND
ركزها	رَكَّز,رِكْز,رَكَز
ركزت	رَكَّز,رَكَز
ركبهم	رِكاب,رُكْبَة,رَكْب,رَكَّب,رَكِب-َ
ركبها	رِكاب,رُكْبَة,رَكْب,رَكَّب,رَكِب-َ
ركبكم	رِكاب,رُكْبَة,رَكْب,رَكَّب,رَكِب-َ
ركبك	رِكاب,رُكْبَة,رَكْب,رَكِب-َ,رَكَّب
ركبان	NOTFOUND
ركازا	رِكاز
ركابهم	رِكاب,راكِب,رَكّاب
ركابه	رِكاب,راكِب,رَكّاب
ركابكم	رِكاب,راكِب,رَكّاب
ركائبنا	رِكاب,رَكُوب
ركائب	رِكاب,رَكُوب
رقيقك	رَقِيق
رقيش	NOTFOUND
رقيتها	رَقَّى,رُقَيَّة,رُقْيَة,رَقِي-َ
رقيته	رَقَّى,رُقَيَّة,رُقْيَة,رَقِي-َ
رقود	راقِد,رُقُود
رقم	رَقَّم,رَقْم,رَقَم
رقدوا	رَقَّد,رَقَد
رقدا	راقِد,رَقْد,رَقَّد,رَقَد
رقت	رَقَّى,رَقّ-ِ,راق-ِ,راق
رقاها	رَقَّى,رُقْيَة
رقاه	رَقَّى,رُقْيَة,راقِي
رقاني	رَقَّى
رقابهن	رَقَبَة
رقاء	رَقّاء
رفه	رَفّ-ِ,رَفُه,رَفَّه,رَفّ,رِفْه
رفقته	رِفْقَة
رفقائك	رَفِيق
رفعهم	رَفَع-َ,رَفْع,رَفَّع
رفعناها	رَفَع-َ,رَفَّع
رفعاه	رَفَع-َ,رَفَّع
رفعاء	NOTFOUND
رفرف	رَفْرَف
رفدة	رَفَد-ِ,رِفْد
رفاعا	رِفاع
رفاتا	رُفات
رغبه	رَغِب-َ,رَغَب,رَغْبَة
رعين	رَعَى-َ
رعوها	رَعْو,رَعا,رَعَى-َ
رعايتها	رِعايَة
رعامها	رُعام
رعاة	راعِي,رَعَى-َ
رطلان	رَطْل
رطبين	رَطْب
رضيه	رَضِيّ,رَضّ
رضوانا	رِضْوان
رضمة	رَضْم
رضم	رَضْم
رضعتين	NOTFOUND
رضعة	راضِع,رَضَّع
رضاي	رِضاً,رَضّ
رضاهن	رِضاً,رَضّ,رَضَّى
رضاه	رِضاً,رَضّ,راضِي,رَضَّى
رصوا	رَصّ
رصاصة	رَصاص,رَصاصَة
رشيه	NOTFOUND
رشه	رَشَّة,رَشّ
رشق	رَشُق,رَشَق,رَشْق
رشدت	رَشَّد,رَشَد
رشحا	رَشْح,رَشَح-َ,رَشَّح
رشت	راش,رَشّ,رَشا
رشائها	رِشاء
رشا	رَشْوَة,رَشّ,رَشا
رسولين	رَسُول
رسولي	رَسُول,رَسُولِيّ
رسولكم	رَسُول
رسلي	رِسْل,رَسْل,رَسُول
رسلها	رِسْل,رَسْل,رَسُول
رسته	رَسا,رَسَّى
رزيناكم	رَزِين
رزقي	رِزْق
رزقهم	رَزَق,رِزْق
رزقها	رَزَق,رِزْق
رزقنا	رَزَق,رِزْق
رزقكموه	NOTFOUND
رزقت	رَزَق
رزئنا	رُزِئ-َ,رُزْء
رديه	رَدِي-َ
رديفته	رَدِيف
رديفة	رَدِيف
ردوهم	رَدِي-َ,رَدَّى,رَدّ
ردوها	رَدِي-َ,رَدَّى,رَدّ
ردهم	رَدّ
ردفني	رَدِف-َ,رَدَف
ردفته	رَدِف-َ,رِدْف,رَدَف
رددتموه	رَدَّد,رَدّ
ردد	رَدَّد
ردتني	راد,رَدَّى,رَدّ
ردة	رَدَّة,رَدّ
ردائها	رِداء
ردائك	رِداء
ردئ	NOTFOUND
ردء	رِدْء
رخصنا	رُخْص,رَخَّص,رَخُص,رَخْص,رُخْصَة
رخصا	رُخْص,رَخَّص,رَخُص,رُخْصَة,رَخْص
رحيمات	رَحِيم
رحي	رَحَى
رحموت	NOTFOUND
رحمهم	رَحَّم,رَحِم,رَحِم-َ
رحمتنا	رَحَّم,رَحْمَة,رَحِم-َ
رحمت	رَحَّم,رَحِم-َ
رحلوه	رَحَّل,رَحَل-َ
رحضا	رَحَض-َ,رَحْض
رحبة	رَحْبَة,رُحْب,رَحَب,رَحَّب,رَحْب
رجوع	رُجُوع
رجوتك	رَجا
رجلوقال	NOTFOUND
رجلاي	رَجُل,رِجْل
رجلاممن	NOTFOUND
رجفة	رَجَف,رَجْفَة
رجعه	رَجْعَة,رَجَّع,رَجَع-ِ,رَجْع
رجعك	رَجَّع,رَجَع-ِ,رَجْع
رجالتنا	راجِل
رجاؤك	رَجاء
رجاءة	رَجاء
رتاج	رِتاج
ربيبه	رَبِيب,رَبِيبَة
ربيبتيها	رَبِيبَة
ربيبتا	رَبِيبَة
ربيئة	رَبِيئَة
ربوني	رَبَّى,رَبا
ربني	NOTFOUND
ربكما	رُبّ,رَبّ
ربعها	رَبَّع,رَبْع,رُبْع
ربعه	رَبَّع,رَبْعَة,رَبْع,رُبْع
ربطوا	رَبَط
ربطه	رَبْطَة,رَبْط,رَبَط,رِباط
رباعية	رَبّاع,رُباعِيّ
رباعها	رُباع,رَبْع,رَبّاع
رباعا	رُباع,رَبْع,رَبّاع
رباطنا	رِباط
ربائب	NOTFOUND
رايناها	NOTFOUND
رايتيهم	رايَة
رايتنه	NOTFOUND
راياه	NOTFOUND
راونا	NOTFOUND
راودتها	راوَد
راهقت	راهَق
راهبة	راهِب,راهِبَة
رانة	ران-ِ
رالان	NOTFOUND
راكبين	راكِب
راكبان	راكِب
رافعين	رافِع
رافعات	رافِع
رافضي	رافِضِيّ,رافِض
رافدة	رافِد,رافِدَة
راغمت	NOTFOUND
راعيه	راعِي
راصوا	NOTFOUND
راشه	راش
راسلونا	راسَل
رازي	رازِيّ
رازقيين	NOTFOUND
رازقيتين	NOTFOUND
رازقية	NOTFOUND
رازقها	رازِق
رادها	راد
رادا	راد
راحلتها	راحِل,راحِلَة
راحلتان	راحِل,راحِلَة
راحتيك	راحَة
راحة	راح,راحَة
راحا	راح
راجلا	راجِل
راجل	راجِل
راجعتها	راجِع,راجَع
راتها	NOTFOUND
راتاها	NOTFOUND
رابني	راب-ِ,راب
رابطنا	رابَط,رابِط
رائينا	راءَى
رائطة	NOTFOUND
راءينا	راءَى
رئيهما	NOTFOUND
رئيس	رَئِيس
رئيته	NOTFOUND
رؤيتهم	رُؤْيَة
رؤساؤنا	رَئِيس
رؤساء	رَئِيس
رءوفا	رَؤُوف
رءوسكما	رَأْس
رءوا	NOTFOUND
ذينك	NOTFOUND
ذيلك	ذَيْل,ذَيَّل
ذيت	NOTFOUND
ذوق	ذَوْق
ذواقا	ذَواق,ذَوّاق
ذواد	NOTFOUND
ذهيل	NOTFOUND
ذهبها	ذَهَب-َ,ذَهَّب,ذَهَب
ذمي	ذَمّ,ذِمِّيّ,ذَمِي-َ
ذممكم	ذِمَّة,ذَمَّم
ذمامها	ذِمام
ذمام	ذِمام
ذم	ذَمّ
ذليلا	ذَلِيل
ذلكثم	NOTFOUND
ذلت	NOTFOUND
ذلا	ذُلّ
ذكروها	ذَكَر,ذَكَّر
ذكركم	ذِكْر,ذَكَر,ذَكَّر
ذكرتنا	ذُكْرَة,ذَكَر,ذَكَّر
ذفراها	NOTFOUND
ذفراه	NOTFOUND
ذعرة	ذُعْر,ذَعَر-َ
ذصلي	NOTFOUND
ذريعتيها	ذَرِيعَة
ذريتي	ذُرِّيّ,ذَرِّيّ,ذُرِّيَّة
ذروها	ذَرْو,ذَرا,ذَرّ,ذَرَّى
ذروة	ذَرْو,ذَرا,ذُرْوَة,ذَرّ,ذَرَّى
ذروا	ذَرْو,ذَرا,ذَرّ,ذَرَّى
ذرعي	ذَرْع
ذرعته	ذَرَع-َ
ذرب	ذَرَب,ذَرِب,ذَرِب-َ
ذراني	ذَرَى-ِ,ذَرا,ذَرّ,ذَرَّى
ذراعين	ذِراع
ذخر	ذُخْر,ذَخَر-َ
ذبيحة	ذَبِيح,ذَبِيحَة
ذبحوه	ذَبَّح,ذَبَح-َ
ذبحناها	ذَبَّح,ذَبَح-َ
ذبابة	ذُباب,ذُبابَة
ذبائحنا	ذَبِيحَة
ذبائح	ذَبِيحَة
ذانك	NOTFOUND
ذان	NOTFOUND
ذالا	ذال
ذاكرت	ذاكَر
ذاكرة	ذاكِرَة,ذاكِر,ذاكَر
ذاقوا	ذاق
ذابحة	NOTFOUND
ذابت	ذاب
ذئرن	NOTFOUND
ذئر	NOTFOUND
ذئبان	ذِئْب
ذؤابتين	ذُؤابَة
ذؤابته	ذُؤابَة
ذؤابتان	ذُؤابَة
ديوان	دِيوان
دينهما	دِين,دَيِّن,دَيْن
دينكن	دِين,دَيِّن,دَيْن
