فانك	آنُك,إِنَّ,وَنَى-ِ,آن,أَنّ-ِ,أَنَّ,ناك-ِ,نَكَى-ِ
فاقبل	قَبَّل,أَقْبَل,قَبِل-َ
رفاعة	رِفاع
الخيل	أَخْيَل,خَيْل
تكن	كَنا,كَنَى-ِ,كَنَّى,كَنّ-ِ,كان,أَكَنّ
بمعني	مَعْنِيّ,مَعْنَى
الكلب	كَلِب,كَلَب,كَلْب
الاشعث	أَشْعَث
ينزل	نَزَل-ِ,أَنْزَل,نَزَّل,نَزِل-َ
مسعدة	مُسْعَد
لحوم	لَحْم,حَوَّم
فمر	مَرّ,مُرّ
سواء	سَواء
بهز	هَزّ,بَهَز-َ
بنو	بِن
الصيام	صائِم,صِيام
ومعه	مَعَ
منبه	مُنَبِّه
لعن	لَعَن-َ,لَعْن,عَنّ,لاع
قبيصة	NOTFOUND
طعاما	طَعام
ذو	ذُو
العنبري	عَنْبَرِيّ
الساعدي	NOTFOUND
معقل	مَعْقِل
فصلوا	صَلَّى,صَلِي-َ,فَصَل-ِ,صَلَى-ِ,فَصَّل
عبدا	عَبَد,عَبَّد,عَبْد
رخص	رُخْص,رَخَّص,رَخُص,رُخْصَة,رَخْص
بالحج	حَجّ
اياس	إِياس
الرازي	رازِيّ
فيكم	فِي,كَمّ
فهي	هِيَ
فساله	لَهِي-َ,وَلِه-َِ,لَها,سال-ِ,أَلْهَى,وَلِي-ِ,لَهَّى
حنين	حَنِين
بيننا	يِن,بَيَّن,بَيْنَ,بَيِّن
امي	أُمِّيّ,أُمّ
اثر	أَثَر-ُِ,أَثَر,أَثِر,ثار,وَثَر-ِ,ثَرِي-َ,آثَر,أَثار,ثَرّ,أَثَّر,إِثْرَ,أَثْر,أَثْرَى
فسالته	سال-ِ,ٱِلْتَهَى,لَتّ
فجعلت	جَعَل-َ
شرب	شَرِب-َ,شُرْب,شَرَّب
الصف	صَفّ
اعظم	عَظُم,أَعْظَم,عَظَّم
عشرا	عُشْر,عَشَّر,عَشَر,عَشْر
خمسا	خَمَّس,خُمْس,خَمْس
بينه	يِن,بَيِّنَة,بَيَّن,بَيْنَ,بَيِّن
بمعناه	مَعْنَى
الغنم	غُنْم,غَنَم
يكبر	كَبَّر,كَبَر,أَكْبَر
والشافعي	شافِعِيّ
المؤذن	مُؤَذِّن
الضحي	ضُحَى
الاحمر	أَحْمَر
اهلي	أَهْل,أَهْلِيّ,آهِل
انهما	إِنَّ,وَنَى-ِ,آن,أَنّ-ِ,أَنَّ
النفيلي	NOTFOUND
النخل	نَخْل
حيوة	حَيّا,حَيّ-َ
جاءه	جاء
ثوبه	ثَوَّب,ثَوْب
امنوا	أَمَنّ,أَمِن-َ,آمَن,أَمَّن
يمين	يَمِين
وغيره	غَيَّر,غَيْر,غَيْرَة
خمسة	خَمَّس,خُمْس,خَمْس
خطب	خُطْبَة,خَطَب
بالليل	لَيْل
يمشي	أَمْشَى,مَشَّى,مَشَى-ِ
يقبل	قَبَّل,أَقْبَل,قَبِل-َ
كانه	آن,كان,أَنَّة
فتح	فَتَح-َ,فَتْح,وَحَى-ِ
سمعه	سَمَّع,سَمِع-َ,سَمْع,سُمْعَة
حارثة	حارِث
الهاد	NOTFOUND
التميمي	تَمِيمِيّ
يعمل	عَمِل-َ,أَعْمَل
يجمع	جَمَع-َ,جَمَّع,أَجْمَع
للناس	ناس
لاحد	أَحَد,أَحَّد,أَحَدّ,حَدّ,حَدّ-ِ
قائم	قائِم
فنظر	نَظَر
عندك	عِنْدَ
شبيب	NOTFOUND
حمده	حَمِد-َ,حَمْد,حَمَّد,حَمْدَة
المسلمون	مُسْلِم
يجلس	جَلَس-ِ,أَجْلَس
وام	آم-ِ,وام,إِم,أَم,أُمّ
نسائه	نَسّاء,نِساء,نَساء
معنا	مَعَ,ماع-ِ
لعبد	عَبَد,عَبَّد,عَبْد
سمي	سُمِّيّ,سَمّ,سَمَّى,سَمِيّ
رسوله	رَسُول
راشد	راشِد
جنب	جَنَب,جَنْب,جَنَّب,جَنْبَ
الفطر	فِطْرَة,فِطْر,فُطْر,فَطْر
الغلام	غُلام
الطريق	طَرِيق
الخمس	خُمْس,خَمْس
اخاه	أَخ,آخَى
وقع	وَقْع,وَقَع-َ,وَقَّع,وُقِّع
فوضع	وَضْع,وَضَع
الليثي	لَيْثِيّ
الاخران	آخِر,آخَر
يقضي	قَضَّى,قَضَى-ِ
يطوف	طاف,طَوَّف
يسجد	سَجَد
ويقال	قال,أَقال
نجد	وَجَد-ِ,أَجْدَى,جَدا,نَجَد,نَجِد-َ,نَجْد,أَجَدّ,جاد,نَجَّد,أَجاد,جَدّ-ِ
معها	مَعَ
لهيعة	NOTFOUND
فرجع	رَجَّع,رَجَع-ِ,رَجْع
الفزاري	NOTFOUND
الحر	حُرّ,حَرّ
ويحيي	حَيّا,حَيّ-َ,يَحْيَى,أَحْيَى
فجلس	جَلَس-ِ
رجليه	رَجُل,رِجْل
راس	رَأْس,راسِي
بعمرة	عُمْرَة,عُمْر,عُمَر
امرت	أَمَّر,أَمَرّ,أَمار,آمَر,أَمَر
الركعة	رَكْعَة
الثوب	ثَوْب
وكذلك	كَذٰلِكَ,ذٰلِكَ,ذُلّ
فنزل	نَزَل-ِ,أَزال,نَزْل,زال-َ,أَزَلّ,نُزْل,زال,نَزَّل,نَزِل-َ,زَلّ-َِ
فكل	كُلّ,أَكَل
فابي	آب,أَب,أَبِيّ,أَبِي,آبِي,أَبَى-َ
ثقة	ثِقَة
ثعلبة	ثَعْلَب
الكوفة	كُوفَة
السلمي	سِلْمِيّ
الجهضمي	NOTFOUND
وقالوا	قال
فليقل	قَلّ-ِ,قَلا,قال,أَقال,قَلِي-َ,أَقَلّ,قَلَى-ِ
فسالت	سال-ِ,سالت,لَتّ
صوم	صائِم,صَوْم
بريد	بَرِيد
الكريم	كَرِيم,كرِيم
يساره	يَسار,سارّ
يرفعه	رَفَع-َ,رَفَّع
نام	نامِي,نام-َ
شك	شَكّ,شِيك
خلاد	NOTFOUND
يصنع	صَنَّع,صَنَع-َ
وسمعت	سَمَّع,سَمِع-َ
نساء	نِساء,نَسّاء,نَساء,أَساء
نذر	ذَرَى-ِ,نَذْر,نَذَر,ذَرا,أَذْرَى,نَذِير,ذَرّ,نَذِر-َ,ذَرَّى,وَذِر-َ
لقي	قِياء,لَقِي-َ,لَقَى
قلبه	قَلْبَة,قَلَب-ِ,قَلْب,قَلَّب
قبله	قَبَّل,قِبْلَة,قُبْلَة,قِبَل,قَبْلَ,قَبِل-َ
غدا	غَد,غَدا
ضرب	ضَرَب,ضَرَّب,ضَرْب
بريرة	NOTFOUND
بخير	خَيِّر,خَيْر
الحليفة	حَلِيف
ابواب	باب
وربما	رُبَّما
واهل	أَهال,هال-ِ,هال,هَلّ-ِ,أَهْل,أَهَلّ,آهِل
معدان	مُعَدّ
غسان	غَسّان
طويلا	طَوِيل
رجلين	رَجُل,رِجْل
اليس	لَيِس-َ,لَيْسَ,أَلْيَس
وسعيد	سَعِيد
نري	وَرَى-ِ,رَأَى-َ
فسكت	سَكْت,سَكّ-َ,سَكَت,سَكّ,ساك,سَكَّت
فرجعت	رَجَّع,رَجَع-ِ
غلاما	غُلام
حلف	حَلَف-ِ,حَلَّف,حَلْف,حِلْف
تطلع	أَطْلَع,ٱِطَّلَع,تَطَلَّع,طَلَع,تَطَلُّع
وفيه	فِي,وَفِيّ
واليوم	يَوْم
واحدا	أَحَد,أَحَّد,أَحَدّ,واحِد
مكان	مَكان
لحم	حَم,حَمّ,لَحَم,لَحِم-َ,لَحْم,لَحِم,لَحَّم
كلب	كَلِب,كَلَب,كَلْب,كَلِب-َ,لُبّ,كَلَّب
ستة	وَهَى-ِ,سِتّ,سَتْه
حقا	حَقّ,حَقّ-ُِ
العمل	عَمَل
وكنت	كَنَّى,كَنّ-ِ,كان,كِنْت
وراء	وَراءَ,وَراء,وَراءُ,رائِي,راء
قبلكم	قَبَّل,قِبَل,قَبْلَ,قَبِل-َ
فاطال	أَطال
الصديق	صَدِيق,صِدِّيق
نجيح	نَجِيح,أَجاح
فكنت	كَنَّى,كَنّ-ِ,كان,كِنْت
فخرجت	خَرَج,خَرَّج
فاخبرته	أَخْبَر
عليهما	عَلِيّ,عَلَى
عشرين	عُشْر,عِشْرُون
ربكم	رُبّ,رَبّ
ذكرت	ذَكَر,ذَكَّر
جنازة	جُنّاز,جِنازَة
الايلي	أَيِّلِيّ
واصحابه	صاحِب
